                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95)
                   all       5000      36335      0.717       0.61      0.668      0.503
                person       2693      10777      0.821      0.745      0.829      0.618
               bicycle        149        314      0.743      0.525      0.628      0.403
                   car        535       1918      0.768      0.638      0.714        0.5
            motorcycle        159        367      0.811      0.679      0.792      0.548
              airplane         97        143      0.846      0.883      0.925      0.779
                   bus        189        283       0.85      0.784      0.865      0.751
                 train        157        190       0.88      0.888      0.938      0.769
                 truck        250        414      0.657       0.51      0.605      0.443
                  boat        121        424      0.735      0.469      0.576      0.336
         traffic light        191        634      0.725      0.482      0.569      0.322
          fire hydrant         86        101        0.9      0.842      0.901      0.752
             stop sign         69         75      0.821       0.72      0.794      0.714
         parking meter         37         60      0.774      0.633      0.693      0.538
                 bench        235        411      0.639      0.387      0.455      0.329
                  bird        125        427      0.729      0.489      0.579      0.407
                   cat        184        202      0.877      0.906      0.935      0.785
                   dog        177        218      0.833      0.821      0.848      0.738
                 horse        128        272      0.838      0.812      0.894      0.705
                 sheep         65        354      0.761      0.791      0.818      0.627
                   cow         87        372      0.853      0.761      0.849      0.664
              elephant         89        252      0.793      0.893      0.885      0.724
                  bear         49         71      0.919      0.887      0.931      0.805
                 zebra         85        266      0.861      0.868      0.928      0.766
               giraffe        101        232       0.93      0.922      0.946      0.782
              backpack        228        371      0.563      0.286      0.356       0.21
              umbrella        174        407      0.702      0.637      0.703      0.503
               handbag        292        540      0.602      0.283      0.356      0.214
                   tie        145        252      0.758      0.532      0.604      0.412
              suitcase        105        299      0.724      0.582      0.704      0.497
               frisbee         84        115      0.837       0.85       0.88      0.715
                  skis        120        241      0.696      0.476      0.524      0.319
             snowboard         49         69      0.683      0.493      0.563      0.443
           sports ball        169        260      0.823      0.596      0.668      0.489
                  kite         91        327      0.687      0.604      0.666      0.486
          baseball bat         97        145      0.677        0.6      0.684      0.447
        baseball glove        100        148      0.759      0.608      0.685      0.442
            skateboard        127        179      0.861      0.793      0.838      0.626
             surfboard        149        267      0.822       0.61      0.712      0.479
         tennis racket        167        225      0.878      0.849      0.878       0.64
                bottle        379       1013      0.708      0.559      0.635      0.452
            wine glass        110        341      0.742      0.545      0.649       0.44
                   cup        390        895      0.689        0.6      0.659      0.502
                  fork        155        215      0.704      0.586      0.659      0.485
                 knife        181        325      0.584      0.342      0.423      0.281
                 spoon        153        253      0.555      0.356      0.421      0.298
                  bowl        314        623      0.657      0.584      0.636       0.49
                banana        103        370      0.586      0.349      0.445      0.298
                 apple         76        236      0.479      0.296      0.325      0.234
              sandwich         98        177      0.641      0.565      0.599      0.478
                orange         85        285      0.528      0.389      0.439      0.342
              broccoli         71        312       0.58      0.394      0.457      0.266
                carrot         81        365      0.459      0.395      0.379      0.247
               hot dog         51        125      0.723      0.504      0.574      0.443
                 pizza        153        284      0.754      0.736      0.779      0.612
                 donut         62        328      0.685      0.584      0.649      0.525
                  cake        124        310      0.674      0.552       0.63      0.429
                 chair        580       1771      0.662      0.473      0.568       0.39
                 couch        195        261      0.694      0.594      0.689      0.536
          potted plant        172        342      0.613      0.538      0.544       0.35
                   bed        149        163      0.681      0.655      0.721      0.534
          dining table        501        695      0.611      0.489      0.517      0.366
                toilet        149        179      0.795      0.788      0.865      0.722
                    tv        207        288      0.787      0.758       0.82      0.654
                laptop        183        231       0.78      0.758      0.822      0.716
                 mouse         88        106      0.862      0.802      0.858      0.667
                remote        145        283      0.683      0.509      0.587      0.393
              keyboard        106        153      0.672      0.642      0.754      0.593
            cell phone        214        262      0.678      0.576      0.613      0.435
             microwave         54         55      0.714      0.818      0.837      0.697
                  oven        115        143       0.63      0.566      0.607      0.455
               toaster          8          9      0.596      0.778      0.658      0.458
                  sink        187        225      0.675      0.609      0.637       0.45
          refrigerator        101        126       0.75      0.762      0.807      0.688
                  book        230       1129      0.583      0.187      0.302      0.174
                 clock        204        267      0.762      0.727      0.772      0.569
                  vase        137        274      0.664      0.609      0.621      0.452
              scissors         28         36      0.672      0.417      0.448      0.375
            teddy bear         94        190      0.746      0.695      0.744      0.586
            hair drier          9         11      0.331     0.0909     0.0813     0.0477
            toothbrush         34         57      0.551      0.474      0.483      0.352
Speed: 0.1ms preprocess, 238.6ms inference, 0.0ms loss, 0.4ms postprocess per image
Saving /Users/minsolkang/CV/runs/detect/val5/predictions.json...
